n,comp-id,session-start,Age groups,ItemID,ItemSeq,Item,ItemType,DivID,(wrong DivID),DivisionName,RawDiv,Section Team(s),Routine,ClubID,ClubSlug,Team,Music,Sivey,Bree,,cohortKey,cohortID,team laravel,session laravel,session_division,sesssion team rank,session itmes,teamkey,teamID,sessionItemKey,sessionItemID,routine,a,a,a,a,a,a,a,a,a,a,a
64,1,2021-05-12 18:00:00,Sub Juniors,1,1,Figure March,Core,3,,Division 3,Division 3,Team 1 & 2,4,42,Seaview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
65,1,2021-05-12 18:00:00,Sub Juniors,1,1,Figure March,Core,3,,Division 3,Division 3,Team 1 & 2,5,25,Carisbrook,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
66,1,2021-05-12 18:00:00,Sub Juniors,1,1,Figure March,Core,3,,Division 3,Division 3,Team 1 & 2,6,31,Para Vista,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
67,1,2021-05-12 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,3,,Division 3,Division 3,Team 1 & 2,1,2,Acacia,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
68,1,2021-05-12 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,3,,Division 3,Division 3,Team 1 & 2,2,42,Seaview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
69,1,2021-05-12 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,3,,Division 3,Division 3,Team 1 & 2,3,31,Para Vista,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
70,1,2021-05-12 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,3,,Division 3,Division 3,Team 1 & 2,4,2,Acacia,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
71,1,2021-05-12 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,3,,Division 3,Division 3,Team 1 & 2,5,28,Golden Heights,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
72,1,2021-05-12 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,3,,Division 3,Division 3,Team 1 & 2,6,25,Carisbrook,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
73,1,2021-05-12 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,3,,Division 3,Division 3,,1,31,Para Vista,1,Land of Wonder,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
